emp_id,name,age,salary(INR),experience(Years),city,department,performance_rating(5)
1,Vihaan,,-5000.0,8.0,Jaipur,Finance,inf
2,Vivaan,21.0,-5000.0,32.0,Jaipur,Marketing,inf
3,Krishna,,-5000.0,,Ahmedabad,Engineering,
4,Vihaan,inf,,,Mumbai,R&D,5.0
5,Diya,,-5000.0,4.0,Hyderabad,Sales,-1.0
6,Vihaan,,,,Chennai,Marketing,3.0
7,Navya,-1.0,-5000.0,inf,Ahmedabad,Marketing,3.0
8,Krishna,,,-2.0,Lucknow,Support,inf
9,Diya,-1.0,-5000.0,,Lucknow,Admin,inf
10,Aadhya,-1.0,inf,5.0,Delhi,Engineering,inf
11,Navya,inf,inf,,Jaipur,HR,
12,Ananya,,-5000.0,29.0,Ahmedabad,Engineering,5.0
13,Rohan,-1.0,,10.0,Lucknow,Support,4.0
14,Vihaan,,77770.0,15.0,Delhi,R&D,-1.0
15,Arjun,-1.0,inf,-2.0,Ahmedabad,Admin,inf
16,Riya,48.0,-5000.0,,Mumbai,Marketing,-1.0
17,Aarav,24.0,75015.0,,Delhi,Marketing,inf
18,Reyansh,-1.0,-5000.0,inf,Hyderabad,Finance,inf
19,Aadhya,inf,137427.0,6.0,Kolkata,Support,-1.0
20,Reyansh,inf,inf,,Pune,Marketing,inf
21,Aarohi,26.0,18868.0,-2.0,Kolkata,R&D,-1.0
22,Diya,-1.0,114345.0,,Pune,Sales,inf
23,Arjun,,72068.0,37.0,Chennai,HR,inf
24,Riya,-1.0,29910.0,11.0,Lucknow,Finance,inf
25,Vihaan,-1.0,25418.0,,Ahmedabad,Marketing,-1.0
26,Ishaan,-1.0,inf,20.0,Mumbai,R&D,5.0
27,Aditya,-1.0,,,Delhi,Marketing,
28,Sai,,,-2.0,Ahmedabad,Finance,-1.0
29,Ishaan,-1.0,-5000.0,,Jaipur,R&D,3.0
30,Aditya,inf,87530.0,,Bangalore,Sales,inf
31,Aarohi,47.0,44327.0,9.0,Chennai,Engineering,-1.0
32,Vivaan,,,-2.0,Delhi,Support,inf
33,Navya,-1.0,-5000.0,26.0,Bangalore,Support,-1.0
34,Ishaan,30.0,115281.0,-2.0,Hyderabad,R&D,
35,Krishna,34.0,inf,,Delhi,Sales,inf
36,Aarohi,41.0,,,Mumbai,Finance,inf
37,Aadhya,inf,149066.0,-2.0,Ahmedabad,HR,4.0
38,Riya,-1.0,inf,,Lucknow,Support,
39,Riya,inf,inf,-2.0,Hyderabad,Admin,-1.0
40,Navya,,121450.0,,Hyderabad,Admin,
41,Ira,inf,inf,10.0,Ahmedabad,Support,-1.0
42,Rohan,-1.0,53627.0,-2.0,Pune,Finance,inf
43,Saanvi,inf,inf,-2.0,Mumbai,Finance,-1.0
44,Sai,inf,-5000.0,inf,Bangalore,R&D,
45,Ira,inf,-5000.0,inf,Ahmedabad,Marketing,inf
46,Krishna,inf,,,Chennai,Support,5.0
47,Arjun,-1.0,-5000.0,13.0,Kolkata,Admin,inf
48,Myra,-1.0,inf,37.0,Lucknow,Admin,4.0
49,Aadhya,inf,-5000.0,-2.0,Ahmedabad,Admin,4.0
50,Diya,inf,inf,8.0,Kolkata,HR,inf
51,Arjun,-1.0,,,Hyderabad,R&D,
52,Diya,inf,81131.0,30.0,Jaipur,HR,-1.0
53,Aditya,22.0,-5000.0,-2.0,Hyderabad,Engineering,4.0
54,Saanvi,inf,,10.0,Bangalore,Sales,1.0
55,Rohan,inf,-5000.0,-2.0,Delhi,Sales,5.0
56,Saanvi,,,,Mumbai,Admin,4.0
57,Myra,inf,inf,,Lucknow,R&D,inf
58,Saanvi,,79355.0,inf,Hyderabad,R&D,inf
59,Ananya,inf,-5000.0,-2.0,Chennai,Sales,
60,Navya,37.0,65084.0,inf,Pune,Marketing,inf
61,Ira,21.0,-5000.0,-2.0,Ahmedabad,Support,
62,Myra,,inf,,Ahmedabad,Marketing,-1.0
63,Ananya,-1.0,-5000.0,,Lucknow,Sales,-1.0
64,Rohan,,,-2.0,Ahmedabad,HR,
65,Arjun,inf,41892.0,,Pune,R&D,
66,Sai,,140233.0,inf,Pune,Finance,5.0
67,Arjun,,-5000.0,inf,Lucknow,Marketing,inf
68,Ira,,,36.0,Lucknow,Finance,-1.0
69,Ishaan,-1.0,-5000.0,35.0,Bangalore,HR,inf
70,Navya,,-5000.0,,Pune,Finance,
71,Saanvi,inf,-5000.0,,Bangalore,Finance,-1.0
72,Rohan,,130121.0,,Kolkata,Sales,inf
73,Ira,25.0,,,Mumbai,Finance,2.0
74,Ishaan,56.0,inf,inf,Ahmedabad,Engineering,inf
75,Prisha,inf,inf,,Delhi,Engineering,inf
76,Prisha,inf,inf,,Ahmedabad,Support,inf
77,Riya,inf,123330.0,,Lucknow,R&D,4.0
78,Reyansh,-1.0,inf,31.0,Mumbai,Marketing,
79,Aarohi,inf,-5000.0,inf,Delhi,Engineering,
80,Riya,inf,inf,inf,Jaipur,Engineering,-1.0
81,Navya,-1.0,,,Jaipur,Sales,
82,Rohan,inf,inf,inf,Chennai,Support,inf
83,Ira,-1.0,inf,inf,Mumbai,Support,inf
84,Diya,inf,-5000.0,,Delhi,R&D,inf
85,Aarav,inf,55464.0,,Chennai,Admin,
86,Aarohi,,142912.0,39.0,Hyderabad,Sales,2.0
87,Myra,26.0,-5000.0,19.0,Mumbai,Support,
88,Aadhya,inf,-5000.0,inf,Lucknow,Engineering,-1.0
89,Aditya,inf,inf,-2.0,Hyderabad,R&D,inf
90,Ishaan,inf,-5000.0,inf,Chennai,Sales,
91,Ira,-1.0,inf,-2.0,Kolkata,Support,
92,Rohan,inf,86953.0,36.0,Lucknow,R&D,-1.0
93,Navya,-1.0,,8.0,Mumbai,Sales,4.0
94,Saanvi,-1.0,,inf,Bangalore,Marketing,
95,Riya,,,,Chennai,Finance,4.0
96,Arjun,inf,110885.0,25.0,Ahmedabad,Finance,
97,Ishaan,inf,112379.0,inf,Mumbai,Support,-1.0
98,Aditya,inf,inf,-2.0,Mumbai,HR,inf
99,Vihaan,-1.0,inf,,Jaipur,Admin,-1.0
100,Myra,inf,,,Hyderabad,R&D,-1.0
101,Aadhya,,109024.0,,Hyderabad,Finance,4.0
102,Reyansh,60.0,,-2.0,Lucknow,Marketing,-1.0
103,Saanvi,-1.0,-5000.0,38.0,Ahmedabad,Engineering,
104,Sai,27.0,49551.0,-2.0,Lucknow,Support,-1.0
105,Ishaan,-1.0,125352.0,inf,Pune,Support,5.0
106,Ira,-1.0,,29.0,Mumbai,R&D,inf
